id,nama_rumah,lokasi,luas_tanah,jumlah_kamar,jumlah_lantai,tahun_bangun,harga,material_digunakan,material_utama
324,Rumah_324,Kota Bekasi,276,4,2,2015,939229022,Genteng Metal:2762m2; Plafon GRC:1442m2; Semen Mortar MU-380:2015sak; Kaca:4512m2; Triplek Meranti Campur:2620lbr; Cat Dinding Nobrand:3904kg,Cat Dinding Nobrand
325,Rumah_325,Bandung Barat,186,2,1,2021,875039787,Granite Tile:1386m2; Semen:404sak; Genteng Metal:3668m2; Pipa PPR 1/2 inci:4165btg,Granite Tile
326,Rumah_326,Kota Bogor,193,4,3,2010,1837799233,Atap Baja Ringan:1760m2; Besi Beton 13mm:3904kg; Pipa PVC Wavin 2 1/2:4383btg; Semen:4188sak; Kabel NYM 2x1.5:986m; Saklar + Stop Kontak Panasonic:2354set,Hollow Galvanis 4x4
327,Rumah_327,Kabupaten Ciamis,321,5,1,2019,148611968,Batu Alam Andesit:1047m2; Saklar + Stop Kontak Panasonic:417set; Semen Mortar MU-380:909sak; Waterproofing Coating:3085kg,Keramik 60x60 Polished
328,Rumah_328,Kabupaten Cianjur,290,2,3,2022,1931341930,Kabel NYY 4x10:2542m; Genteng Metal:3576m2; Batu Split:2070m3; Pipa PPR 1/2 inci:1334btg,Plafon Gypsum
329,Rumah_329,Kabupaten Cirebon,241,2,2,2024,553395862,Kabel NYM 2x1.5:2625m; Pipa PVC Wavin 3:66btg; Cat Eksterior Jotun:3382kg; Saklar + Stop Kontak Panasonic:226set; Batu Bata Merah:2465pcs; Pintu Kayu Solid:503pcs,Genteng Metal
330,Rumah_330,Kabupaten Garut,100,3,2,2025,1383631926,Semen:3471sak; Keramik Asia Tile:1322m2; Kayu:1851kg; Kabel NYM 2x1.5:2307m; Genteng Beton:4189pcs,Kabel NYM 2x1.5
331,Rumah_331,Kabupaten Subang,57,2,3,2023,321522253,Plafon GRC:3506m2; Pasir:2338m3; Keramik 60x60 Polished:4858m2; Kabel NYM 2x1.5:644m; Batu Alam Andesit:4238m2; Pintu Kayu Solid:1028pcs,Batu Alam Andesit
332,Rumah_332,Kabupaten Bandung Barat,216,3,1,2008,967963842,Plafon GRC:70m2; Kaca:1993m2; Cat Dinding Nobrand:1974kg,Pintu Kayu Solid
333,Rumah_333,Kabupaten Bekasi,151,1,1,2013,965089131,Keramik 60x60 Polished:652m2; Batu Bata Merah:4378pcs; Semen:4569sak; Stop Kran Kuningan:1196pcs; Granite Tile:3376m2; Batu Alam Andesit:3129m2,Besi Beton 13mm
334,Rumah_334,Bandung Timur,59,1,2,2015,382775994,Bata Ringan JUMA:1864pcs; Besi Beton 16mm:2545kg; Genteng Metal:3639m2; Kaca:4173m2; Cat Eksterior Jotun:2763kg; Batu Split:2869m3,Bata Ringan Walbric
335,Rumah_335,Kabupaten Bogor,235,3,2,2006,322339455,Pipa PVC Wavin 2 1/2:542btg; Besi WF 150:2961btg; Waterproofing Coating:2915kg,Atap Baja Ringan
336,Rumah_336,Kota Banjar,145,3,3,2025,473148129,Triplek Meranti Campur:4660lbr; Keramik Asia Tile:858m2; Kabel NYY 4x10:1149m,Pipa PVC Wavin 3
337,Rumah_337,Kota Sukabumi,241,1,3,2017,674349573,Aluminium Kusen:2997m; Pintu Kayu Solid:2570pcs; Keramik Asia Tile:3257m2; Batu Split:1728m3; Plafon GRC:3039m2,Cat Dinding Dulux
338,Rumah_338,Kabupaten Kuningan,108,2,2,2004,1819689439,Triplek Meranti Campur:2276lbr; Stop Kran Kuningan:4701pcs; Genteng Metal:4251m2; Saklar + Stop Kontak Panasonic:1058set; Batu Alam Andesit:2274m2,Semen
339,Rumah_339,Kota Tasikmalaya,135,6,3,2004,247083417,Triplek Meranti Campur:1680lbr; Besi Beton 19mm:3501kg; Keramik 60x60 Polished:1745m2; Cat Dinding Nobrand:4184kg,Besi WF 150
340,Rumah_340,Kabupaten Indramayu,316,2,1,2011,147772842,Batu Alam Andesit:4560m2; Keramik Asia Tile:835m2; Triplek Meranti Campur:4391lbr; Besi Beton 13mm:2888kg; Atap Baja Ringan:2231m2,Batu Split
341,Rumah_341,Kota Cimahi,277,3,1,2000,1433585005,Keramik Kamar Mandi:3094m2; Aluminium Kusen:1537m; Hollow Galvanis 4x4:131btg; Semen Mortar MU-380:3549sak; Besi Beton 19mm:1641kg; Pipa PVC Wavin 2 1/2:2440btg,Plafon GRC
342,Rumah_342,Kabupaten Karawang,262,1,1,2018,1921812739,Keramik Kamar Mandi:1959m2; Kabel NYY 4x10:1800m; Genteng Beton:4398pcs,Genteng Beton
343,Rumah_343,Kota Bandung,258,1,1,2020,515432419,Keramik 60x60 Polished:2751m2; Cat Dinding Nobrand:4368kg; Semen:742sak; Kaca:2860m2; Kabel NYM 2x1.5:3905m,Stop Kran Kuningan
344,Rumah_344,Kota Depok,285,3,1,2000,1154409569,Kabel NYM 2x1.5:1983m; Plafon GRC:4808m2; Pasir:1665m3; Pipa PVC Wavin 3:1630btg; Cat Dinding Dulux:1296kg; Genteng Beton:3389pcs,Saklar + Stop Kontak Panasonic
345,Rumah_345,Kabupaten Pangandaran,294,4,1,2003,1828644404,Genteng Metal:4573m2; Saklar + Stop Kontak Panasonic:1837set; Kawat Bendrat:2781kg,Aluminium Kusen
346,Rumah_346,Kabupaten Sukabumi,215,2,1,2017,1328282709,Pipa PVC Wavin 2 1/2:3107btg; Bata Ringan JUMA:2201pcs; Kayu:1776kg; Granite Tile:4591m2; Plafon Gypsum:2692m2,Kawat Bendrat
347,Rumah_347,Kabupaten Majalengka,44,1,3,2006,1782997513,Multipleks 18mm:1026lbr; Pasir:1096m3; Besi Beton 19mm:1056kg; Genteng Beton:2205pcs; Waterproofing Coating:2366kg; Kawat Bendrat:4429kg,Besi Beton 19mm
348,Rumah_348,Kabupaten Tasikmalaya,200,4,1,2022,265733680,Pipa PVC Wavin 3:1652btg; Cat Dinding Nobrand:4807kg; Pipa PPR 1/2 inci:3091btg; Pasir:2871m3; Atap Baja Ringan:3672m2; Kayu:1501kg,Batu Bata Merah
349,Rumah_349,Kota Cirebon,39,6,1,2013,1013776052,Besi WF 150:2845btg; Kawat Bendrat:3038kg; Keramik Kamar Mandi:2573m2,Pipa PVC Wavin 2 1/2
350,Rumah_350,Kabupaten Sumedang,197,5,1,2001,594306610,Besi Beton 16mm:2482kg; Pasir:3948m3; Saklar + Stop Kontak Panasonic:2454set; Keramik Asia Tile:1856m2; Waterproofing Coating:60kg; Kayu:1803kg,Kaca
351,Rumah_351,Kabupaten Purwakarta,213,4,2,2009,1603323835,Atap Baja Ringan:3822m2; Bata Ringan JUMA:2160pcs; Aluminium Kusen:2167m; Waterproofing Coating:1934kg,Pasir
352,Rumah_352,Kabupaten Bandung,101,2,1,2017,364375002,Genteng Metal:4228m2; Besi Beton 19mm:424kg; Batu Alam Andesit:1201m2; Atap Baja Ringan:999m2; Kawat Bendrat:4960kg,Triplek Meranti Campur
353,Rumah_353,Kota Bekasi,236,1,3,2018,987649715,Waterproofing Coating:3407kg; Stop Kran Kuningan:3214pcs; Kabel NYY 4x10:621m; Cat Dinding Nobrand:2539kg,Semen Mortar MU-380
354,Rumah_354,Bandung Barat,313,6,1,2023,1291116324,Cat Dinding Nobrand:3938kg; Semen Mortar MU-380:4895sak; Pipa PVC Wavin 3:4065btg,Keramik Kamar Mandi
355,Rumah_355,Kota Bogor,205,4,1,2001,1309767849,Pipa PVC Wavin 3:530btg; Pasir:60m3; Waterproofing Coating:2552kg; Kayu:1674kg; Batu Alam Andesit:4721m2,Cat Eksterior Jotun
356,Rumah_356,Kabupaten Ciamis,321,4,3,2016,1955840096,Besi Beton 13mm:1401kg; Saklar + Stop Kontak Panasonic:2707set; Semen Mortar MU-380:2711sak; Kayu:71kg,Pipa PPR 1/2 inci
357,Rumah_357,Kabupaten Cianjur,329,6,2,2003,1951766725,Plafon Gypsum:3894m2; Pipa PVC Wavin 3:4152btg; Cat Dinding Dulux:2279kg; Keramik Kamar Mandi:1611m2; Cat Dinding Nobrand:1552kg; Kayu:499kg,Kabel NYY 4x10
358,Rumah_358,Kabupaten Cirebon,141,4,2,2002,1330356437,Batu Bata Merah:523pcs; Pipa PPR 1/2 inci:2871btg; Multipleks 18mm:4813lbr,Multipleks 18mm
359,Rumah_359,Kabupaten Garut,169,3,3,2005,316308957,Semen:3946sak; Atap Baja Ringan:2273m2; Kayu:1878kg; Pintu Kayu Solid:2782pcs; Cat Eksterior Jotun:1483kg; Besi WF 150:3173btg,Waterproofing Coating
360,Rumah_360,Kabupaten Subang,239,1,3,2022,1247453526,Pipa PPR 1/2 inci:517btg; Pasir:4908m3; Granite Tile:564m2; Bata Ringan JUMA:2163pcs,Besi Beton 16mm
361,Rumah_361,Kabupaten Bandung Barat,73,2,3,2022,1064304169,Granite Tile:2170m2; Batu Split:3583m3; Pipa PPR 1/2 inci:1037btg,Bata Ringan JUMA
362,Rumah_362,Kabupaten Bekasi,197,4,3,2013,1869848610,Kawat Bendrat:2203kg; Pasir:4225m3; Kaca:632m2,Kayu
363,Rumah_363,Bandung Timur,232,4,3,2000,351578226,Batu Bata Merah:1781pcs; Plafon GRC:4085m2; Triplek Meranti Campur:3453lbr; Bata Ringan Walbric:4604pcs,Keramik Asia Tile
364,Rumah_364,Kabupaten Bogor,94,4,2,1998,1748203679,Keramik Asia Tile:3927m2; Plafon Gypsum:2707m2; Multipleks 18mm:2370lbr; Batu Split:4779m3,Cat Dinding Nobrand
365,Rumah_365,Kota Banjar,171,1,2,2024,354639763,Granite Tile:1106m2; Genteng Metal:4637m2; Hollow Galvanis 4x4:1325btg; Multipleks 18mm:868lbr; Stop Kran Kuningan:3193pcs; Semen:2034sak,Granite Tile
366,Rumah_366,Kota Sukabumi,182,3,2,2000,1022741869,Saklar + Stop Kontak Panasonic:1221set; Cat Eksterior Jotun:3824kg; Triplek Meranti Campur:940lbr; Atap Baja Ringan:1387m2,Hollow Galvanis 4x4
367,Rumah_367,Kabupaten Kuningan,242,3,2,2008,181050084,Aluminium Kusen:1269m; Atap Baja Ringan:3082m2; Bata Ringan JUMA:4718pcs; Keramik 60x60 Polished:502m2; Genteng Metal:4643m2; Plafon Gypsum:2662m2,Keramik 60x60 Polished
368,Rumah_368,Kota Tasikmalaya,203,5,1,2010,1056942460,Cat Dinding Dulux:4511kg; Pintu Kayu Solid:4605pcs; Semen:4824sak; Cat Dinding Nobrand:3768kg,Plafon Gypsum
369,Rumah_369,Kabupaten Indramayu,146,4,1,1997,614637810,Hollow Galvanis 4x4:2504btg; Atap Baja Ringan:146m2; Triplek Meranti Campur:4576lbr; Genteng Metal:872m2; Besi Beton 13mm:1194kg,Genteng Metal
370,Rumah_370,Kota Cimahi,142,2,2,2023,1416255841,Atap Baja Ringan:554m2; Plafon GRC:853m2; Batu Split:2680m3; Kabel NYM 2x1.5:3927m; Pipa PVC Wavin 2 1/2:3309btg,Kabel NYM 2x1.5
371,Rumah_371,Kabupaten Karawang,33,3,2,2018,578302324,Batu Split:3035m3; Batu Alam Andesit:2135m2; Kayu:565kg; Genteng Beton:4510pcs; Pipa PVC Wavin 2 1/2:2014btg; Kawat Bendrat:406kg,Batu Alam Andesit
372,Rumah_372,Kota Bandung,83,3,1,2000,1514201982,Granite Tile:4492m2; Waterproofing Coating:4196kg; Keramik Kamar Mandi:2324m2,Pintu Kayu Solid
373,Rumah_373,Kota Depok,101,6,1,2019,1867287458,Kaca:1829m2; Pasir:4513m3; Keramik Kamar Mandi:1400m2,Besi Beton 13mm
374,Rumah_374,Kabupaten Pangandaran,271,3,1,2018,871113837,Genteng Beton:444pcs; Pintu Kayu Solid:2336pcs; Saklar + Stop Kontak Panasonic:1732set,Bata Ringan Walbric
375,Rumah_375,Kabupaten Sukabumi,263,2,2,2022,492235149,Cat Eksterior Jotun:3704kg; Bata Ringan Walbric:2999pcs; Pintu Kayu Solid:4530pcs,Atap Baja Ringan
376,Rumah_376,Kabupaten Majalengka,302,2,3,2023,701941221,Pipa PPR 1/2 inci:1666btg; Triplek Meranti Campur:775lbr; Stop Kran Kuningan:243pcs; Keramik 60x60 Polished:2156m2; Semen Mortar MU-380:2403sak; Kabel NYM 2x1.5:4658m,Pipa PVC Wavin 3
377,Rumah_377,Kabupaten Tasikmalaya,74,3,3,2018,928782788,Besi Beton 13mm:3626kg; Stop Kran Kuningan:1755pcs; Atap Baja Ringan:1242m2; Kabel NYM 2x1.5:3627m,Cat Dinding Dulux
378,Rumah_378,Kota Cirebon,289,4,2,1997,1195486071,Keramik Asia Tile:1235m2; Genteng Metal:1812m2; Plafon Gypsum:626m2,Semen
379,Rumah_379,Kabupaten Sumedang,163,5,2,2000,1114540125,Semen:2694sak; Genteng Metal:1733m2; Waterproofing Coating:3173kg; Kaca:4216m2; Batu Split:420m3,Besi WF 150
380,Rumah_380,Kabupaten Purwakarta,223,4,1,2020,1085887746,Bata Ringan JUMA:1722pcs; Kaca:2136m2; Semen:1999sak; Plafon Gypsum:2912m2; Granite Tile:3346m2; Keramik Asia Tile:4156m2,Batu Split
381,Rumah_381,Kabupaten Bandung,201,4,3,2006,632737521,Waterproofing Coating:3009kg; Genteng Beton:1834pcs; Pasir:956m3,Plafon GRC
382,Rumah_382,Kota Bekasi,202,4,2,2019,882132046,Kaca:1194m2; Semen Mortar MU-380:437sak; Atap Baja Ringan:4572m2; Waterproofing Coating:1450kg; Semen:2365sak; Plafon Gypsum:3033m2,Genteng Beton
383,Rumah_383,Bandung Barat,231,5,3,2001,184986707,Besi WF 150:4474btg; Hollow Galvanis 4x4:1999btg; Besi Beton 13mm:801kg,Stop Kran Kuningan
384,Rumah_384,Kota Bogor,87,4,2,2019,234132096,Bata Ringan Walbric:1447pcs; Kabel NYM 2x1.5:3312m; Kayu:2325kg; Pipa PVC Wavin 2 1/2:4687btg; Atap Baja Ringan:2500m2,Saklar + Stop Kontak Panasonic
385,Rumah_385,Kabupaten Ciamis,94,6,2,2007,661130509,Besi Beton 13mm:4916kg; Cat Dinding Nobrand:4100kg; Keramik Asia Tile:2947m2; Aluminium Kusen:620m,Aluminium Kusen
386,Rumah_386,Kabupaten Cianjur,70,1,3,2020,1641712280,Batu Split:1916m3; Waterproofing Coating:991kg; Bata Ringan Walbric:4044pcs; Hollow Galvanis 4x4:479btg,Kawat Bendrat
387,Rumah_387,Kabupaten Cirebon,222,5,2,2020,1907671511,Kabel NYY 4x10:3848m; Granite Tile:2220m2; Besi Beton 19mm:1586kg,Besi Beton 19mm
388,Rumah_388,Kabupaten Garut,145,3,2,2016,147672574,Kaca:1332m2; Batu Split:883m3; Kawat Bendrat:3555kg; Besi Beton 16mm:3768kg,Batu Bata Merah
389,Rumah_389,Kabupaten Subang,99,4,1,2022,1687842054,Batu Alam Andesit:1949m2; Keramik Asia Tile:190m2; Genteng Beton:3007pcs,Pipa PVC Wavin 2 1/2
390,Rumah_390,Kabupaten Bandung Barat,169,1,1,2004,1775580080,Atap Baja Ringan:2177m2; Pintu Kayu Solid:1989pcs; Aluminium Kusen:3825m,Kaca
391,Rumah_391,Kabupaten Bekasi,55,6,1,2000,1570320223,Kabel NYY 4x10:3303m; Waterproofing Coating:2455kg; Keramik 60x60 Polished:1915m2; Keramik Asia Tile:3627m2,Pasir
392,Rumah_392,Bandung Timur,131,3,2,2023,1300730662,Genteng Metal:235m2; Kayu:2993kg; Pipa PPR 1/2 inci:4076btg; Keramik Asia Tile:4095m2; Kaca:3455m2,Triplek Meranti Campur
393,Rumah_393,Kabupaten Bogor,285,3,3,2010,513697834,Keramik 60x60 Polished:552m2; Hollow Galvanis 4x4:3219btg; Pipa PVC Wavin 2 1/2:647btg; Batu Bata Merah:279pcs; Keramik Asia Tile:3447m2; Batu Split:1844m3,Semen Mortar MU-380
394,Rumah_394,Kota Banjar,56,4,3,2021,1906117136,Kaca:3067m2; Genteng Metal:2831m2; Hollow Galvanis 4x4:3985btg; Keramik 60x60 Polished:1379m2; Besi Beton 19mm:4347kg; Bata Ringan Walbric:3074pcs,Keramik Kamar Mandi
395,Rumah_395,Kota Sukabumi,96,5,3,1997,1067210730,Granite Tile:4423m2; Aluminium Kusen:1784m; Kawat Bendrat:3442kg,Cat Eksterior Jotun
396,Rumah_396,Kabupaten Kuningan,237,4,3,2014,1463052327,Kabel NYM 2x1.5:2114m; Cat Dinding Nobrand:3816kg; Besi Beton 19mm:4190kg,Pipa PPR 1/2 inci
397,Rumah_397,Kota Tasikmalaya,298,4,1,2001,401063052,Semen Mortar MU-380:3465sak; Cat Dinding Nobrand:1686kg; Plafon Gypsum:4596m2,Kabel NYY 4x10
398,Rumah_398,Kabupaten Indramayu,151,1,3,2000,1243057505,Semen Mortar MU-380:1728sak; Keramik Kamar Mandi:1670m2; Bata Ringan Walbric:4850pcs; Kabel NYM 2x1.5:1303m; Cat Dinding Nobrand:2179kg,Multipleks 18mm
399,Rumah_399,Kota Cimahi,348,6,1,1996,1770572878,Pipa PPR 1/2 inci:4054btg; Kawat Bendrat:3117kg; Besi Beton 19mm:1257kg; Kaca:268m2,Waterproofing Coating
400,Rumah_400,Kabupaten Karawang,53,6,2,1998,1646112120,Multipleks 18mm:4849lbr; Semen Mortar MU-380:3511sak; Keramik 60x60 Polished:3178m2; Semen:4476sak,Besi Beton 16mm
401,Rumah_401,Kota Bandung,269,4,2,2024,1066977962,Besi Beton 19mm:4041kg; Keramik Asia Tile:3776m2; Kabel NYM 2x1.5:3017m; Genteng Beton:2324pcs; Waterproofing Coating:4400kg; Triplek Meranti Campur:853lbr,Bata Ringan JUMA
402,Rumah_402,Kota Depok,220,5,3,2017,1806957658,Kabel NYY 4x10:4790m; Besi Beton 19mm:557kg; Keramik 60x60 Polished:2198m2,Kayu
403,Rumah_403,Kabupaten Pangandaran,136,2,2,2007,1094621966,Genteng Metal:3211m2; Pipa PVC Wavin 2 1/2:2572btg; Pintu Kayu Solid:2451pcs; Keramik Asia Tile:2462m2; Plafon Gypsum:2479m2,Keramik Asia Tile
404,Rumah_404,Kabupaten Sukabumi,285,1,1,2009,300011496,Pipa PVC Wavin 3:3888btg; Atap Baja Ringan:1483m2; Triplek Meranti Campur:1226lbr,Cat Dinding Nobrand
405,Rumah_405,Kabupaten Majalengka,39,2,1,2004,213220767,Semen:2790sak; Saklar + Stop Kontak Panasonic:3423set; Kawat Bendrat:2323kg; Pipa PVC Wavin 3:4453btg; Cat Dinding Dulux:225kg; Pintu Kayu Solid:3616pcs,Granite Tile
406,Rumah_406,Kabupaten Tasikmalaya,261,2,1,1996,1603945955,Batu Alam Andesit:2639m2; Stop Kran Kuningan:1058pcs; Plafon GRC:502m2; Bata Ringan JUMA:3308pcs,Hollow Galvanis 4x4
407,Rumah_407,Kota Cirebon,251,6,3,2009,638897598,Pipa PPR 1/2 inci:2034btg; Atap Baja Ringan:3192m2; Aluminium Kusen:103m,Keramik 60x60 Polished
408,Rumah_408,Kabupaten Sumedang,227,2,3,2024,1313330753,Triplek Meranti Campur:2841lbr; Kayu:4397kg; Waterproofing Coating:4788kg; Batu Split:1631m3; Kabel NYY 4x10:2512m; Pintu Kayu Solid:1769pcs,Plafon Gypsum
409,Rumah_409,Kabupaten Purwakarta,335,3,2,2016,288998181,Saklar + Stop Kontak Panasonic:4876set; Bata Ringan Walbric:4135pcs; Multipleks 18mm:3980lbr,Genteng Metal
410,Rumah_410,Kabupaten Bandung,285,1,2,2021,1948298922,Keramik 60x60 Polished:2244m2; Plafon GRC:1519m2; Multipleks 18mm:3532lbr; Keramik Asia Tile:1061m2; Cat Dinding Dulux:2508kg,Kabel NYM 2x1.5
411,Rumah_411,Kota Bekasi,181,2,3,2018,1288343948,Besi Beton 16mm:1463kg; Pipa PPR 1/2 inci:3325btg; Bata Ringan Walbric:2160pcs,Batu Alam Andesit
412,Rumah_412,Bandung Barat,240,2,2,2021,270399103,Besi Beton 16mm:3158kg; Besi WF 150:3964btg; Pipa PVC Wavin 2 1/2:4073btg; Plafon GRC:1376m2; Pintu Kayu Solid:1668pcs; Keramik 60x60 Polished:3090m2,Pintu Kayu Solid
413,Rumah_413,Kota Bogor,131,6,3,2018,1469819552,Stop Kran Kuningan:2359pcs; Atap Baja Ringan:1258m2; Genteng Metal:3287m2; Kayu:4906kg; Semen Mortar MU-380:4628sak; Pipa PVC Wavin 3:2743btg,Besi Beton 13mm
414,Rumah_414,Kabupaten Ciamis,177,4,1,2005,1805795673,Cat Dinding Nobrand:3699kg; Batu Bata Merah:3024pcs; Stop Kran Kuningan:2901pcs; Pasir:3965m3,Bata Ringan Walbric
415,Rumah_415,Kabupaten Cianjur,209,6,3,2018,1612863431,Batu Alam Andesit:1871m2; Semen Mortar MU-380:3215sak; Semen:2151sak; Keramik 60x60 Polished:2083m2; Kaca:2005m2; Kawat Bendrat:3514kg,Atap Baja Ringan
416,Rumah_416,Kabupaten Cirebon,174,4,1,2012,1190741211,Genteng Metal:4018m2; Atap Baja Ringan:3170m2; Waterproofing Coating:3239kg,Pipa PVC Wavin 3
417,Rumah_417,Kabupaten Garut,267,6,3,2007,364567870,Batu Bata Merah:2632pcs; Genteng Beton:4541pcs; Kabel NYY 4x10:3618m; Pipa PVC Wavin 2 1/2:3605btg; Batu Split:2656m3,Cat Dinding Dulux
418,Rumah_418,Kabupaten Subang,234,6,3,2001,1707780173,Granite Tile:2873m2; Stop Kran Kuningan:3039pcs; Batu Alam Andesit:3438m2,Semen
419,Rumah_419,Kabupaten Bandung Barat,240,5,3,2017,537453531,Kaca:141m2; Keramik Asia Tile:4786m2; Cat Dinding Nobrand:3940kg,Besi WF 150
420,Rumah_420,Kabupaten Bekasi,189,4,2,2002,1326626879,Keramik Kamar Mandi:1516m2; Besi Beton 16mm:1373kg; Saklar + Stop Kontak Panasonic:1139set; Batu Bata Merah:3906pcs; Pipa PVC Wavin 3:1897btg; Besi WF 150:4856btg,Batu Split
421,Rumah_421,Bandung Timur,151,1,1,1995,1550985841,Multipleks 18mm:2236lbr; Kaca:1607m2; Cat Dinding Dulux:871kg,Plafon GRC
422,Rumah_422,Kabupaten Bogor,180,5,3,2014,178192104,Stop Kran Kuningan:60pcs; Genteng Metal:3241m2; Pipa PPR 1/2 inci:160btg; Besi Beton 13mm:2888kg,Genteng Beton
423,Rumah_423,Kota Banjar,191,1,2,2000,818792800,Kabel NYM 2x1.5:1625m; Besi Beton 19mm:2356kg; Batu Alam Andesit:3447m2; Kaca:1494m2; Keramik Kamar Mandi:473m2; Genteng Metal:3997m2,Stop Kran Kuningan
424,Rumah_424,Kota Sukabumi,264,6,1,1995,903791189,Kabel NYM 2x1.5:1073m; Kabel NYY 4x10:4356m; Granite Tile:2945m2,Saklar + Stop Kontak Panasonic
425,Rumah_425,Kabupaten Kuningan,184,4,1,2025,754384196,Besi Beton 13mm:3280kg; Plafon GRC:1513m2; Kaca:1023m2; Granite Tile:3802m2; Kawat Bendrat:1074kg,Aluminium Kusen
426,Rumah_426,Kota Tasikmalaya,115,6,3,2023,1868574339,Kabel NYY 4x10:158m; Cat Dinding Nobrand:4499kg; Atap Baja Ringan:2783m2,Kawat Bendrat
427,Rumah_427,Kabupaten Indramayu,333,2,3,2023,1523044764,Pasir:3287m3; Plafon GRC:1561m2; Multipleks 18mm:673lbr,Besi Beton 19mm
428,Rumah_428,Kota Cimahi,81,2,3,1995,1901494513,Keramik Asia Tile:4608m2; Granite Tile:3187m2; Plafon GRC:3364m2; Besi Beton 16mm:3726kg,Batu Bata Merah
429,Rumah_429,Kabupaten Karawang,162,6,2,1996,352492028,Kabel NYY 4x10:913m; Semen:2610sak; Atap Baja Ringan:4400m2,Pipa PVC Wavin 2 1/2
430,Rumah_430,Kota Bandung,187,1,2,2019,702755103,Kabel NYY 4x10:4562m; Pintu Kayu Solid:4975pcs; Cat Eksterior Jotun:1081kg; Pipa PVC Wavin 3:3212btg; Pipa PPR 1/2 inci:1392btg,Kaca
431,Rumah_431,Kota Depok,116,2,2,2023,1710574326,Batu Split:3997m3; Kabel NYM 2x1.5:53m; Pasir:1282m3; Kawat Bendrat:3254kg,Pasir
432,Rumah_432,Kabupaten Pangandaran,245,2,1,2004,1314695947,Bata Ringan JUMA:1416pcs; Hollow Galvanis 4x4:382btg; Pipa PVC Wavin 3:3292btg; Besi WF 150:2278btg; Batu Split:1190m3; Pintu Kayu Solid:3501pcs,Triplek Meranti Campur
433,Rumah_433,Kabupaten Sukabumi,209,5,1,2019,727548224,Keramik 60x60 Polished:2322m2; Besi Beton 13mm:3079kg; Pasir:347m3,Semen Mortar MU-380
434,Rumah_434,Kabupaten Majalengka,131,1,2,2000,1877592602,Stop Kran Kuningan:3650pcs; Pipa PVC Wavin 2 1/2:1427btg; Multipleks 18mm:201lbr,Keramik Kamar Mandi
435,Rumah_435,Kabupaten Tasikmalaya,282,1,3,2016,1812398154,Batu Split:431m3; Bata Ringan JUMA:2810pcs; Stop Kran Kuningan:420pcs; Hollow Galvanis 4x4:4245btg; Waterproofing Coating:4798kg,Cat Eksterior Jotun
436,Rumah_436,Kota Cirebon,312,6,3,2020,930653092,Multipleks 18mm:4635lbr; Batu Bata Merah:3534pcs; Cat Eksterior Jotun:3726kg; Bata Ringan Walbric:3560pcs; Saklar + Stop Kontak Panasonic:850set,Pipa PPR 1/2 inci
437,Rumah_437,Kabupaten Sumedang,317,2,1,2008,1332424308,Pintu Kayu Solid:2812pcs; Semen:2669sak; Plafon Gypsum:3827m2; Keramik 60x60 Polished:4524m2,Kabel NYY 4x10
438,Rumah_438,Kabupaten Purwakarta,252,6,1,2013,1689421645,Stop Kran Kuningan:2612pcs; Atap Baja Ringan:2097m2; Pintu Kayu Solid:3377pcs; Genteng Beton:4296pcs; Besi Beton 13mm:3394kg; Pasir:1327m3,Multipleks 18mm
439,Rumah_439,Kabupaten Bandung,270,3,2,2020,588762196,Semen:4083sak; Keramik 60x60 Polished:639m2; Saklar + Stop Kontak Panasonic:466set; Genteng Metal:63m2,Waterproofing Coating
440,Rumah_440,Kota Bekasi,180,2,1,2014,765504525,Kawat Bendrat:1188kg; Pipa PVC Wavin 3:325btg; Pipa PPR 1/2 inci:4264btg; Multipleks 18mm:2194lbr,Besi Beton 16mm
441,Rumah_441,Bandung Barat,232,2,1,2007,747897676,Pipa PPR 1/2 inci:2445btg; Pipa PVC Wavin 3:865btg; Besi WF 150:70btg; Bata Ringan Walbric:3024pcs; Atap Baja Ringan:4468m2,Bata Ringan JUMA
442,Rumah_442,Kota Bogor,248,2,3,2016,1626919101,Saklar + Stop Kontak Panasonic:1827set; Hollow Galvanis 4x4:1937btg; Atap Baja Ringan:3440m2,Kayu
443,Rumah_443,Kabupaten Ciamis,262,5,2,2023,1307763319,Besi Beton 13mm:2860kg; Pipa PVC Wavin 3:2097btg; Multipleks 18mm:2289lbr; Kabel NYM 2x1.5:4038m,Keramik Asia Tile
444,Rumah_444,Kabupaten Cianjur,63,2,2,2011,1240665265,Plafon Gypsum:3692m2; Kabel NYM 2x1.5:4508m; Aluminium Kusen:2442m; Besi Beton 13mm:4298kg,Cat Dinding Nobrand
445,Rumah_445,Kabupaten Cirebon,308,3,1,1999,1196362014,Kaca:4348m2; Besi Beton 16mm:2579kg; Multipleks 18mm:4491lbr; Keramik Kamar Mandi:4919m2,Granite Tile
446,Rumah_446,Kabupaten Garut,149,3,2,2015,1441510785,Kayu:4943kg; Batu Alam Andesit:2078m2; Kaca:3575m2; Atap Baja Ringan:801m2; Plafon GRC:2572m2,Hollow Galvanis 4x4
447,Rumah_447,Kabupaten Subang,229,6,1,2015,1579821179,Genteng Beton:4431pcs; Bata Ringan JUMA:3091pcs; Batu Bata Merah:3875pcs,Keramik 60x60 Polished
